date,GWL,ET,NDVI,T,P
1354060800,281.05,56.333,0.391,20.6,103.1536324
1356652800,281.22,62.0,0.5737,20.8,15.75444728
1359331200,280.79,88.5,0.6012,21.37,45.0074155
1362009600,280.58,117.0,0.6166,20.49,19.18544374
1364428800,280.6,131.0,0.576,21.565,101.6898432
1367107200,280.86,73.5,0.35375,33.43,46.43889382
1369699200,280.6,54.25,0.23285,39.945,17.7388366
1372377600,280.35,26.0,0.2025,46.23,0.341760952
1374969600,280.2,22.75,0.207,49.205,0.229923629
1377648000,279.65,22.75,0.2085,48.615,0.493878814
1380326400,279.6,39.333,0.2242,44.01,14.57756674
1382918400,279.5,28.333,0.2261,36.937,11.16373693
1385596800,279.3,29.333,0.2346,31.297,40.20456058
1388188800,279.23,29.0,0.26045,24.89,23.49579938
1390867200,279.1,64.0,0.35905,23.135,100.2489476
1393545600,279.17,89.333,0.55765,23.18,31.57463372
1395964800,279.46,115.0,0.5286,31.535,24.61186705
1398643200,279.31,86.667,0.34655,38.483,59.46733224
1401235200,279.2,38.25,0.21835,45.32,6.785009674
1403913600,279.1,36.0,0.21695,45.795,1.386403925
1406505600,279.0,33.5,0.203,46.895,1.186446554
1409184000,278.9,29.25,0.2015,45.16,0.6919664
1411862400,278.8,32.333,0.2024,43.67,8.957368366
1414454400,278.8,22.667,0.2225,40.77,9.063819516
1417132800,278.75,59.5,0.26735,26.857,182.3907881
1419724800,279.58,52.25,0.5709,18.095,63.51711736
1422403200,280.41,74.333,0.645,18.53,65.1123797
1425081600,280.42,129.333,0.6281,19.07,23.1141025
1427500800,280.36,141.5,0.6247,28.785,56.72500023
1430179200,280.3,97.0,0.41445,35.51,2.260333462
1432771200,280.1,48.0,0.28305,42.315,11.63353609
1435449600,280.04,37.333,0.2535,45.2,1.046631188
1438041600,279.63,34.0,0.22305,46.485,1.472247546
1440720000,279.42,35.0,0.2238,42.785,4.835940856
1443398400,279.4,34.0,0.22,43.157,6.55804446
1445990400,279.24,44.333,0.2633,34.27,50.73130278
1448668800,279.22,41.0,0.3072,30.86,24.90600184
1451260800,279.15,13.0,0.40435,29.595,4.009782779
1453939200,278.95,53.5,0.38505,29.195,23.69265063
1456617600,278.95,43.333,0.3348,30.095,58.1432193
1459123200,278.9,61.5,0.40875,31.735,56.15090876
1461801600,278.93,57.0,0.3729,39.323,18.35076495
1464393600,278.75,57.667,0.2338,40.143,54.95221256
1467072000,278.76,33.25,0.21075,47.435,1.715846096
1469664000,278.53,25.0,0.2141,47.85,1.175168788
1472342400,278.45,17.5,0.21485,49.205,1.219474326
1475020800,278.37,26.5,0.2071,45.095,2.040210133
1477612800,279.24,32.0,0.2543,38.157,18.24201018
1480291200,278.27,47.0,0.3096,26.677,98.30895996
1482883200,278.47,47.5,0.54735,21.885,78.3834003
1485561600,279.13,67.5,0.66185,20.205,48.05364652
1488240000,278.98,134.0,0.64685,22.53,104.7224015
1490659200,279.1,127.25,0.4315,31.29,35.11097123
1493337600,279.1,51.667,0.24365,38.69,6.004071336
1495929600,278.91,37.5,0.19525,42.555,7.143426703
1498608000,278.79,24.25,0.185,47.64,1.994818306
1501200000,278.7,27.25,0.1972,48.545,0.189462747
1503878400,278.65,23.75,0.20475,47.08,1.146206986
1506556800,278.66,28.333,0.2173,44.21,1.772141749
1509148800,278.6,11.5,0.2163,39.803,10.41018492
1511827200,278.62,23.75,0.1987,32.335,28.9689981
1514419200,278.6,35.5,0.20915,22.485,68.7230747
1517097600,278.8,42.5,0.35355,19.355,94.87004589
1519776000,279.33,80.25,0.59145,20.945,87.04804273
1522195200,279.77,133.25,0.61365,23.685,123.0783449
1524873600,279.9,148.333,0.478,26.33,65.28578818
1527465600,280.14,102.5,0.28305,35.115,10.44174787
1530144000,280.0,55.5,0.21065,43.905,0.623369534
1532736000,279.77,30.0,0.1984,44.6,0.106263863
1535414400,279.61,29.75,0.19895,47.51,1.283785448
1538092800,279.48,39.333,0.1929,44.77,30.97230461
1540684800,279.8,60.0,0.3253,30.463,100.9639414
1543363200,281.01,68.75,0.48235,21.03,97.63829666
1545955200,280.98,80.75,0.53265,21.935,9.678523059
1548633600,281.1,72.333,0.6029,21.87,20.70637341
1551312000,280.82,69.25,0.5123,29.22,27.3353164
1553731200,280.51,61.333,0.3167,33.935,27.01289525
1556409600,280.33,61.667,0.2347,37.783,20.92329293
1559001600,280.15,26.5,0.1863,45.885,5.506442781
1561680000,279.92,43.25,0.1751,46.8,0.393857839
1564272000,279.76,36.25,0.176,46.615,0.517986484
1566950400,280.19,28.333,0.17475,48.2,1.320094795
1569628800,279.87,31.333,0.1824,45.45,2.29905311
1572220800,279.66,32.0,0.2028,39.123,24.9902773
1574899200,279.55,57.5,0.1979,28.095,30.09986705
1577491200,279.44,50.5,0.33435,24.995,77.65294701
1580169600,279.34,69.75,0.47715,24.54,21.27251865
1582848000,279.38,78.5,0.39495,32.185,1.245089147
1585353600,280.64,62.75,0.32355,33.57,19.33399833
1588032000,283.3,58.333,0.2149,37.783,21.4588358
1590624000,282.9,42.0,0.1979,44.317,43.96184388
1593302400,282.3,37.333,0.19015,47.285,1.651389387
1595894400,282.05,26.75,0.1827,49.19,1.0660254
1598572800,281.86,28.75,0.16825,46.7,0.468643621
