date,747-27,P,T,ET,NDVI
1293494400,216.6,71.80570203,19.49,55.5,0.40565
1296172800,216.72,74.44401437,18.65,109.0,0.7007
1298851200,216.69,29.21636134,19.935,175.0,0.71415
1301270400,216.66,75.60815406,25.07,200.0,0.66035
1303948800,216.63,73.347736,31.777,139.0,0.4348
1306540800,216.6,109.7290971,35.655,43.0,0.2602
1309219200,216.57,5.479067668,43.66,36.25,0.2327
1311811200,216.54,0.487106547,44.01,37.5,0.2395
1314489600,216.51,0.134578163,43.49,35.333,0.21125
1317168000,216.48,4.109512009,44.277,30.667,0.2187
1319760000,216.42,29.61944237,37.003,29.5,0.231
1322438400,216.44,103.973912,25.415,55.5,0.29345
1325030400,216.45,7.463765055,24.0,46.0,0.5568
1327708800,216.42,25.29576302,24.475,74.25,0.65705
1330387200,216.21,6.704758778,27.605,68.0,0.66255
1332892800,216.0,13.53309269,36.443,66.0,0.45595
1335571200,215.98,69.92149293,38.87,74.0,0.3342
1338163200,215.8,3.481596597,43.717,41.0,0.2435
1340841600,215.5,3.042383116,43.19,51.75,0.2828
1343433600,215.3,0.593913719,44.385,41.5,0.32965
1346112000,215.26,0.225634919,46.245,28.75,0.23825
1348790400,215.12,25.30572474,44.92,37.25,0.287
1351382400,215.1,95.27938807,37.87,54.667,0.3325
1354060800,215.25,96.53373241,21.85,56.5,0.3978
1356652800,215.26,14.52935144,20.475,57.25,0.53665
1359331200,215.5,40.07299948,20.3,158.333,0.71
1362009600,215.51,18.54630724,20.235,207.5,0.82475
1364428800,215.6,100.4760793,17.555,185.5,0.7937
1367107200,215.68,47.77331829,30.223,139.0,0.45345
1369699200,215.53,16.03749163,32.46,64.75,0.2188
1372377600,215.32,0.422282458,43.93,32.25,0.1975
1374969600,215.2,0.262977683,47.73,26.0,0.18255
1377648000,214.89,0.681715458,47.42,25.333,0.17375
1380326400,214.88,17.61714578,42.91,45.333,0.1943
1382918400,214.89,12.63140009,37.35,24.0,0.2372
1385596800,214.84,42.85285413,28.265,45.667,0.277
1388188800,214.95,23.18668936,26.005,25.0,0.2713
1390867200,214.82,107.8547752,23.14,68.0,0.26855
1393545600,214.95,32.76866555,24.43,112.0,0.45835
1395964800,214.85,28.4130882,30.665,111.0,0.6101
1398643200,214.79,55.33264697,37.91,94.0,0.35105
1401235200,214.62,6.184888087,42.835,42.75,0.19775
1403913600,214.48,1.955841746,44.345,43.5,0.19305
1406505600,214.3,1.049635459,46.125,38.0,0.1908
1409184000,214.2,1.032242294,44.885,29.75,0.1938
1411862400,214.08,10.67934796,43.823,30.0,0.1888
1414454400,214.03,8.741498038,42.297,28.0,0.2242
1417132800,214.08,184.1893101,26.457,57.0,0.25555
1419724800,214.25,55.40014672,18.3,59.25,0.5905
1422403200,214.45,57.0388425,18.1,87.5,0.74545
1425081600,214.53,20.72219163,20.255,137.0,0.74765
1427500800,214.55,54.32393378,27.595,176.75,0.64755
1430179200,214.46,2.35763289,32.323,121.0,0.38135
1432771200,214.18,10.15024739,40.215,53.75,0.27305
1435449600,213.93,1.482152827,45.495,42.5,0.1967
1438041600,213.75,1.246244442,45.455,34.75,0.2064
1440720000,213.74,5.71888867,42.75,42.667,0.23085
1443398400,213.69,7.80437462,41.703,39.0,0.2435
1445990400,213.7,43.36207893,34.59,50.333,0.3178
1448668800,213.9,22.39363164,31.91,35.5,0.3247
1451260800,213.92,4.69971801,30.9,20.0,0.31965
1453939200,213.51,24.09493545,28.54,54.0,0.3647
1456617600,213.52,57.12076306,32.915,56.333,0.3494
1459123200,213.58,63.59059346,34.125,73.0,0.46055
1461801600,213.43,16.98390841,39.463,69.333,0.43765
1464393600,213.36,61.12785745,40.477,73.667,0.2551
