date,GWL,P,T,ET,NDVI
28/11/2008,221.21,84.60810542,26.91,39.5,0.3515
28/12/2008,221.57,51.84269446,17.745,65,0.63265
28/01/2009,221.57,94.56753731,15.95,125,0.823
28/02/2009,221.62,97.76729107,19.657,188,0.82095
28/03/2009,221.62,66.38932693,26.78,197,0.7821
28/04/2009,221.62,12.54248142,31.71,107.5,0.4088
28/05/2009,221.62,3.83424766,39.03,54.25,0.2169
28/06/2009,221.57,10.57537517,45.305,38.75,0.20385
28/07/2009,221.53,0.686551016,47.305,22.75,0.19255
28/08/2009,221.515,0.134058171,45.22,34.25,0.2026
28/09/2009,221.5,56.93077147,41.577,37.333,0.267
28/10/2009,221.46,6.978583284,41.07,30,0.243
28/11/2009,221.605,15.03087804,32.665,30.5,0.2304
28/12/2009,221.75,135.3289729,21.855,30,0.3129
28/01/2010,221.7809524,107.1003524,18.295,73.667,0.4763
28/02/2010,221.8119048,156.9321012,18.06,134.75,0.7443
28/03/2010,221.8428571,49.98500222,20.565,201.667,0.77075
28/04/2010,221.8738095,22.13694155,35.137,124.333,0.44925
28/05/2010,221.9047619,11.41040833,39.72,64.25,0.24795
28/06/2010,221.9357143,5.056943625,43.93,43.75,0.2289
28/07/2010,221.9666667,2.562919088,44.475,33.25,0.1958
28/08/2010,221.997619,6.101532429,49.145,24.75,0.2028
28/09/2010,222.0285714,5.012966506,42.03,36.667,0.2081
28/10/2010,222.0595238,51.84724545,35.51,46.333,0.2541
28/11/2010,222.0904762,147.3602414,29.335,43.667,0.30425
28/12/2010,222.1214286,74.09146482,21.937,56.667,0.56245
28/01/2011,222.152381,78.78119427,20.47,82.25,0.6455
28/02/2011,222.1833333,27.66303241,21.4,121.25,0.6157
28/03/2011,222.2142857,73.39231914,26.15,163.25,0.5507
28/04/2011,222.2452381,72.69571781,33.297,117.667,0.40585
28/05/2011,222.2761905,104.0143797,36.78,69.333,0.30675
28/06/2011,222.3071429,5.727429751,44.7,39,0.22545
28/07/2011,222.3380952,0.566293392,44.885,38.5,0.2221
28/08/2011,222.3690476,0.17508257,42.985,34.5,0.22905
28/09/2011,222.4,3.349911086,44.057,27.333,0.2177
28/10/2011,222.34,28.85850075,37.683,30.333,0.2241
28/11/2011,222.34,110.6040752,24.655,54.667,0.4007
28/12/2011,222.24,7.15240033,22.595,44.5,0.60245
28/01/2012,222.25,24.99239579,22.89,74,0.6642
28/02/2012,222.16,7.443860918,26.22,78.75,0.6553
28/03/2012,222.06,12.5105812,35.18,77.25,0.5074
28/04/2012,222.06,64.06433702,38.437,69,0.31635
28/05/2012,221.84,3.985873763,43.037,44.667,0.20765
28/06/2012,221.59,2.644614475,43.685,38.25,0.20735
28/07/2012,221.5,0.213504629,45.18,32.5,0.2181
28/08/2012,221.38,0.327752533,47.86,27.25,0.2259
28/09/2012,221.38,22.97755927,46.225,38.25,0.2473
28/10/2012,221.39,98.09488428,39.797,50,0.2295
28/11/2012,221.46,100.6149602,22.37,54.5,0.3634
28/12/2012,221.47,14.80119985,21,74.75,0.5337
28/01/2013,221.38,41.85912305,21.045,100.333,0.6331
28/02/2013,221.4,18.82350549,21.15,122,0.7062
28/03/2013,221.4,96.1870147,21.365,159.333,0.52655
28/04/2013,221.41,44.45468813,32.383,109.667,0.39055
28/05/2013,221.33,16.36482503,37.085,70.25,0.25925
28/06/2013,221.25,0.455653884,45.09,40.5,0.20725
28/07/2013,221.17,0.274228371,48.405,31.75,0.22075
28/08/2013,221.08,0.747189386,48.825,27.5,0.23275
28/09/2013,221.07,15.88022232,43.377,39,0.2291
28/10/2013,221.04,10.49856884,37.017,34,0.2646
28/11/2013,221.05,36.42021149,27.89,33,0.2628
28/12/2013,221.04,23.05307668,24.74,31,0.29865
28/01/2014,221.03,94.50109613,24,62,0.34675
28/02/2014,221.03,31.79803848,23.655,94.667,0.6075
28/03/2014,220.97,26.25335634,31.53,115.75,0.54585
28/04/2014,220.92,56.71075523,37.503,91.5,0.32795
28/05/2014,220.8,6.20457834,43.86,48.75,0.2505
28/06/2014,220.75,1.440285749,45.115,42.25,0.3246
28/07/2014,220.71,1.004398484,46.22,48.5,0.2494
28/08/2014,220.64,1.059321935,45.205,37.5,0.2183
28/09/2014,220.65,9.034824595,43.457,35,0.2224
28/10/2014,220.68,8.812095948,41.73,24,0.2246
28/11/2014,220.72,177.9255581,27.257,64.25,0.33115
28/12/2014,220.78,63.41523331,18.26,61.25,0.64395
28/01/2015,220.82,59.90964907,18.74,129.75,0.7748
28/02/2015,220.7,22.19520852,19.35,132.5,0.80945
28/03/2015,220.62,65.33122373,27.93,178.75,0.6581
28/04/2015,220.58,2.489998732,33.183,95,0.4557
28/05/2015,220.36,11.1414424,40.075,72.25,0.3143
28/06/2015,220.25,1.304382244,44.995,60,0.2516
28/07/2015,220.18,1.437391095,46.2,42.75,0.2329
28/08/2015,220.14,6.111288518,41.835,44.75,0.2404
28/09/2015,220.14,8.404858857,42.443,40.667,0.2668
28/10/2015,220.22,45.03008732,34.03,47,0.278
28/11/2015,220.3,21.95686609,31.545,47.25,0.36595
28/12/2015,220.18,4.097254962,29.65,29,0.3721
28/01/2016,220.04,25.59599555,28.9,33,0.3771
28/02/2016,220.08,56.95704639,29.68,49.5,0.33965
28/03/2016,220.1,50.66949713,30.55,97.5,0.42095
28/04/2016,219.97,17.42921948,38.95,85,0.36015
28/05/2016,219.85,58.95833069,38.957,79.667,0.26095
28/06/2016,219.7,2.003409259,46.185,59.25,0.2933
28/07/2016,219.53,1.720014157,47.04,33.25,0.22845
28/08/2016,219.5,0.906290797,48.45,27.25,0.23555
28/09/2016,219.5,2.182316333,45.04,36.667,0.24165
28/10/2016,219.57,17.45575941,39.11,35,0.301
28/11/2016,219.54,86.31056249,26.13,47.667,0.3174
28/12/2016,219.62,78.67919326,22.7,51,0.44475
28/01/2017,219.62,46.08095661,20.25,74.75,0.62605
28/02/2017,219.63,99.74181533,22.435,155.75,0.80265
28/03/2017,219.7,33.32548651,30.35,163.25,0.66005
28/04/2017,219.51,6.814835295,37.163,80.667,0.34615
28/05/2017,219.46,7.882657394,41.1,54.5,0.2189
28/06/2017,219.44,2.939125177,47.335,35,0.2024
28/07/2017,219.41,0.202322004,48.085,34,0.236
28/08/2017,219.41,0.89478296,46.7,29.75,0.22335
28/09/2017,219.43,1.900276523,44.35,36.333,0.2539
28/10/2017,219.46,11.05559644,40.51,24.333,0.2703
28/11/2017,219.43,24.78848487,32.175,26.333,0.27835
28/12/2017,219.4,63.52413565,23.2,36,0.30205
28/01/2018,219.47,93.61505485,19.675,49,0.40235
28/02/2018,219.53,87.71435559,20.875,116.333,0.46835
28/03/2018,219.62,107.6777465,23.275,150,0.54275
28/04/2018,219.6,60.66941679,25.263,127.667,0.4239
28/05/2018,219.56,11.46849862,34.05,107.75,0.29455
28/06/2018,219.47,0.867150036,42.385,68.75,0.268
28/07/2018,219.41,0.155420536,44.075,35.25,0.23395
28/08/2018,219.29,1.496006403,47.05,36.25,0.31505
28/09/2018,219.33,29.51606601,44.93,48.667,0.2214
28/10/2018,219.35,82.21933955,31.783,65.667,0.3692
28/11/2018,219.49,94.51667905,21.855,69.25,0.4597
28/12/2018,219.53,10.45211448,23.245,70.75,0.66925
28/01/2019,219.5,17.68338253,22.005,91.25,0.7508
28/02/2019,219.55,32.64799029,28.88,124.25,0.7412
28/03/2019,219.49,30.03616315,32.765,93.75,0.51395
28/04/2019,219.46,20.28393209,36.597,67.333,0.3233
28/05/2019,219.45,6.357350506,45.865,37.5,0.2471
28/06/2019,219.4,0.548230795,46.38,49,0.28665
28/07/2019,219.4,0.398240011,46.73,48.75,0.2857
28/08/2019,219.4,1.50060486,48.02,47.75,0.2543
28/09/2019,219.35,2.57583797,45.723,37.667,0.2384
28/10/2019,219.36,23.18700117,40.097,30,0.3367
28/11/2019,219.36,27.15984464,28.715,55,0.29425
28/12/2019,219.36,66.65580118,24.77,48.5,0.37625
28/01/2020,219.32,21.72319713,24.545,62.667,0.4095
28/02/2020,219.3,0.910849012,32.385,86,0.3933
28/03/2020,219.25,17.27017339,35.43,62.5,0.3384
28/04/2020,219.17,18.23330954,35.31,57,0.302
28/05/2020,219.18,42.86875901,44.563,68.667,0.28385
28/06/2020,218.91,1.587795049,47.695,53.25,0.26735
28/07/2020,218.82,1.174384165,49.22,35.75,0.24805
28/08/2020,218.74,0.490592269,47.05,39.25,0.2741
,,2.581154611,44.11,38.5,0.28455
,,8.662266545,40.523,36,0.2645
,,38.83061081,32.377,32,0.3811
,,29.27115002,22.495,60.5,0.44195
,,,19.94,,0.6194
,,,22.795,,0.75065
,,,26.53,,0.758
,,,37.26,,0.39495
,,,39.345,,0.2632
,,,44.22,,0.21795
,,,46.275,,0.21575
,,,47.27,,0.20805
,,,44.67,,0.2665
,,,40.557,,0.2369
,,,30.35,,0.30925
,,,25.305,,0.4326
,,,28.82,,0.47765
,,,33.955,,0.41005
,,,30.9,,0.45345
,,,38.45,,0.50545
,,,46.985,,0.2702
,,,45.765,,0.32295
,,,51.615,,0.2469
,,,46.61,,0.2426
,,,42.983,,0.3399
,,,40.423,,0.2396
,,,34.585,,0.3225
,,,21.6,,0.4787
,,,,,0.74775
,,,,,0.7344
