date,GWL,P,T,ET,NDVI
28/09/2017,185.17,1.537584197,41.737,47.667,0.2121
28/10/2017,185.06,11.18438512,38.51,34,0.2182
28/11/2017,185.04,36.47447258,31.995,21.667,0.2234
28/12/2017,184.85,76.23571998,24.065,48,0.2569
28/01/2018,184.85,90.50500238,20.897,79,0.49125
28/02/2018,184.92,95.04332542,20.71,139.5,0.61295
28/03/2018,185.05,142.8752296,21.19,225,0.7627
28/04/2018,185.02,64.93909121,24.71,215.333,0.6212
28/05/2018,184.95,9.946889766,33.39,168.5,0.26545
28/06/2018,184.73,0.476624017,39.22,132.75,0.219
28/07/2018,184.56,0.066696669,41.275,68.75,0.20795
28/08/2018,184.36,0.676006232,43.255,45.75,0.2187
28/09/2018,184.11,35.06229222,39.717,52,0.2163
28/10/2018,183.98,101.068418,33.977,71.333,0.2674
28/11/2018,184.05,102.6179695,21.785,75.25,0.42975
28/12/2018,184.14,8.646043584,24.01,64.667,0.60105
28/01/2019,184.17,19.78914133,22.745,83.25,0.5742
28/02/2019,184.14,33.13190639,27.63,107.333,0.5539
28/03/2019,183.93,22.25064397,31.56,75.5,0.4104
28/04/2019,183.79,18.69290605,35.637,96.667,0.2979
28/05/2019,183.64,6.636386409,42.675,73.25,0.27265
28/06/2019,183.39,0.364840674,42.76,103.5,0.4028
28/07/2019,183.29,0.316388732,43.365,103.5,0.2914
28/08/2019,183.15,1.08220994,45.3,48,0.22735
28/09/2019,183.08,1.840490419,41.937,43,0.1998
28/10/2019,183,31.08354297,37.297,43.333,0.2246
28/11/2019,182.91,29.39280242,27.65,72.75,0.29345
28/12/2019,182.87,90.55977505,24.465,61.5,0.527
28/01/2020,182.78,21.29256977,22.785,91.75,0.57795
28/02/2020,182.69,1.327257771,31.03,121.75,0.5865
28/03/2020,182.49,17.85133275,34.01,81.5,0.3814
28/04/2020,182.46,20.02224103,35.777,77,0.25835
28/05/2020,182.35,46.3197535,41.543,74.5,0.25885
28/06/2020,182.08,1.482501185,42.995,77.75,0.3123
28/07/2020,181.86,0.866494431,45.75,51.75,0.2445
28/08/2020,181.82,0.288213265,43.615,57.75,0.2325
